,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
41,Four-Seam Fastball,2014-03-05,90.8,-1.57,5.75,"Aardsma, David",545338,430911,,ball,,,,,14.0,Nick Franklin reaches on a fielding error by second baseman David Adams.,S,L,R,SEA,CLE,B,,,0,0,2014,-1.38,1.91,0.66,1.39,,,,2,6,Bot,,,,,450192,,140305_145556,8.83,-131.74,-9.13,-15.7,29.65,-11.27,3.18,1.64,,,,,,,396491,430911,450192,542583,458691,489262,471107,454998,460579,519037,50.0,,,,,,,,50,1,4-Seam Fastball,5,1,5,1,1,5,5,1,,,,0.0,
42,Four-Seam Fastball,2014-03-05,91.0,-1.75,5.92,"Aardsma, David",459431,430911,field_out,hit_into_play,,,,,1.0,"Michael Saunders grounds out, second baseman David Adams to first baseman Jesus Aguilar.   Logan Morrison scores.",S,L,R,SEA,CLE,X,4.0,ground_ball,1,1,2014,-0.95,1.59,-0.31,3.08,489149.0,,,1,6,Bot,144.58,158.63,,,450192,,140305_145518,5.77,-132.45,-4.58,-10.44,28.92,-14.89,3.68,1.5,,,,,,,396491,430911,450192,542583,458691,489262,471107,454998,460579,519037,50.0,,,0.0,,0.0,0.0,,49,3,4-Seam Fastball,4,1,4,1,1,5,5,1,,,,0.012,
43,Four-Seam Fastball,2014-03-05,91.8,-1.87,5.81,"Aardsma, David",459431,430911,,ball,,,,,11.0,"Michael Saunders grounds out, second baseman David Adams to first baseman Jesus Aguilar.   Logan Morrison scores.",S,L,R,SEA,CLE,B,,,0,1,2014,-1.33,1.51,-1.25,2.81,489149.0,,,1,6,Bot,,,,,450192,,140305_145501,4.6,-133.52,-4.99,-15.61,27.6,-15.57,3.68,1.5,,,,,,,396491,430911,450192,542583,458691,489262,471107,454998,460579,519037,50.0,,,,,,,,49,2,4-Seam Fastball,4,1,4,1,1,4,4,1,,,,0.0,
44,Four-Seam Fastball,2014-03-05,90.7,-1.73,5.86,"Aardsma, David",459431,430911,,called_strike,,,,,4.0,"Michael Saunders grounds out, second baseman David Adams to first baseman Jesus Aguilar.   Logan Morrison scores.",S,L,R,SEA,CLE,S,,,0,0,2014,-1.21,1.61,-0.33,2.58,489149.0,,,1,6,Bot,,,,,450192,,140305_145446,6.27,-131.81,-5.69,-13.62,28.52,-14.81,3.68,1.5,,,,,,,396491,430911,450192,542583,458691,489262,471107,454998,460579,519037,50.0,,,,,,,,49,1,4-Seam Fastball,4,1,4,1,1,4,4,1,,,,0.0,
45,Four-Seam Fastball,2014-03-05,90.3,-1.68,5.86,"Aardsma, David",554429,430911,field_out,hit_into_play,,,,,9.0,Dustin Ackley pops out to shortstop Elliot Johnson.,S,L,R,SEA,CLE,X,6.0,popup,2,0,2014,-1.15,1.64,0.45,1.99,489149.0,,,0,6,Bot,131.53,156.63,,,450192,,140305_145400,7.98,-131.13,-7.25,-12.75,26.84,-14.49,3.36,1.5,,,,,,,396491,430911,450192,542583,458691,489262,471107,454998,460579,519037,50.0,,,0.0,,0.0,0.0,,48,3,4-Seam Fastball,4,1,4,1,1,4,4,1,,,,-0.012,
46,Four-Seam Fastball,2014-03-05,90.9,-1.93,5.99,"Aardsma, David",554429,430911,,ball,,,,,11.0,Dustin Ackley pops out to shortstop Elliot Johnson.,S,L,R,SEA,CLE,B,,,1,0,2014,-1.07,1.54,-1.47,3.62,489149.0,,,0,6,Bot,,,,,450192,,140305_145342,3.5,-132.28,-3.21,-11.94,28.18,-15.51,3.36,1.5,,,,,,,396491,430911,450192,542583,458691,489262,471107,454998,460579,519037,50.0,,,,,,,,48,2,4-Seam Fastball,4,1,4,1,1,4,4,1,,,,0.0,
47,Four-Seam Fastball,2014-03-05,90.6,-1.81,5.97,"Aardsma, David",554429,430911,,ball,,,,,11.0,Dustin Ackley pops out to shortstop Elliot Johnson.,S,L,R,SEA,CLE,B,,,0,0,2014,-1.22,1.32,-0.92,4.28,489149.0,,,0,6,Bot,,,,,450192,,140305_145327,4.97,-131.96,-0.9,-13.88,27.72,-18.28,3.36,1.5,,,,,,,396491,430911,450192,542583,458691,489262,471107,454998,460579,519037,50.0,,,,,,,,48,1,4-Seam Fastball,4,1,4,1,1,4,4,1,,,,0.0,
48,Four-Seam Fastball,2014-03-05,91.1,-1.76,6.01,"Aardsma, David",489149,430911,field_error,hit_into_play,,,,,2.0,Logan Morrison reaches on a fielding error by right fielder Carlos Moncrief.   Logan Morrison to 3rd.,S,L,R,SEA,CLE,X,9.0,fly_ball,0,0,2014,-1.4,1.66,0.12,3.46,,,,0,6,Bot,184.74,63.25,,,450192,,140305_145234,8.04,-132.39,-4.03,-16.28,27.22,-13.91,3.39,1.5,,,,,,,396491,430911,450192,542583,458691,489262,471107,454998,460579,519037,50.0,,,0.9,,0.0,0.0,,47,1,4-Seam Fastball,4,1,4,1,1,4,4,1,,,,0.031,
49,Four-Seam Fastball,2014-03-03,88.3,-1.66,5.79,"Aardsma, David",455139,430911,field_out,hit_into_play,,,,,9.0,"Robinson Chirinos grounds out, second baseman Joey Wendle to first baseman David Adams.",S,R,R,TEX,CLE,X,4.0,ground_ball,1,0,2014,-1.02,1.63,0.78,2.0,,,595777.0,2,6,Bot,144.58,154.62,,,547379,,140303_151534,8.28,-128.21,-6.51,-10.62,27.4,-15.59,3.21,1.49,,,,,,,396533,430911,547379,458691,621563,489262,570481,454998,571980,519037,50.0,,,0.0,,0.0,0.0,,55,2,4-Seam Fastball,4,4,4,4,4,4,4,4,,,,-0.036,
50,Splitter,2014-03-03,88.6,-1.8,6.03,"Aardsma, David",455139,430911,,ball,,,,,11.0,"Robinson Chirinos grounds out, second baseman Joey Wendle to first baseman David Adams.",S,R,R,TEX,CLE,B,,,0,0,2014,-1.32,1.35,-1.0,3.84,,,595777.0,2,6,Bot,,,,,547379,,140303_151510,4.85,-129.0,-1.86,-14.23,29.33,-18.73,3.35,1.49,,,,,,,396533,430911,547379,458691,621563,489262,570481,454998,571980,519037,50.0,,,,,,,,55,1,Split-Finger,4,4,4,4,4,4,4,4,,,,0.0,
